"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"World","Biomass","Material Footprint (RMC)","MF","t","12681705005","12921497947","12868273921","13491474636","13598367078","13784401394","14217348772","14342358886","14781712884","14688716712","14689208991","15104567499","15546356946","15506707900","16092326432","16226819400","16400230796","16500303889","16504309401","17054455491","17384095382","17169834025","17407769326","17246027701","17510379155","17682717523","18241815623","18327974828","18403211404","18629414706","18735035447","18902623448","19055671551","19449298481","20148558827","20308761523","20608532964","21225765632","21984105066","21713230840","22177227140","23061040489","23171175764","24045590579","24363521612","24530440330","24903550170","25472219797","25618594171","25885925507","25890236017","26242957070","26341116780","26499809842","26815948772"
"World","Fossil fuels","Material Footprint (RMC)","MF","t","6112529441","6265805849","6512036769","6817297637","6839438884","6913275361","7228175712","7498768118","7587686320","8042458660","7972469726","7858798219","7878633981","7920047427","8195806507","8376383362","8630477821","8827033696","9126588013","9335213414","9311838542","9041503314","9045111782","9040250914","9203194830","9424900707","9644721062","9716825333","9804272334","9769949077","10068228377","10363949947","10492954628","11058534266","11613229010","12042666103","12551404675","13000679913","13290490526","13344400028","13993456110","14646637922","14894053123","15023250077","15095200885","15051576778","14627995174","15138550185","15612875684","15926348638","15306119033","15769653026","15280623737","15549568401","15635928523"
"World","Metal ores","Material Footprint (RMC)","MF","t","2646793163","2660573124","2782776956","2918455695","2914901044","2798573085","2891045028","2815478920","2820676028","2908997103","2909407747","2949122507","2872952478","2904198592","3127969941","3256654068","3337850456","3502068683","3700472342","3838235183","3936922400","3797083480","3955207727","3961533189","4019876886","4176641506","4306385187","4554325050","4683796887","4746236737","5003003322","5059542165","5098549392","5294713729","5602117706","5944162331","6309168960","6655802519","6881853978","7015557631","7625931215","8206712147","8406474810","9011046255","9328589001","9379761063","9584956943","9657860213","9365417674","9555953483","9387808654","9813145768","9568971353","9623939959","9888447778"
"World","Non-metallic minerals","Material Footprint (RMC)","MF","t","9508811846","10100897963","10524540700","11300458199","11258410530","10863518023","11339932350","11887843939","12798609281","12973901630","12818697133","12442000903","12234891776","12870693197","13392419432","14109475601","14862514154","15797996390","16685670710","16678067236","16786608013","16526013921","17991100835","18916812335","19919667630","20760447637","21061065735","21741864357","22380962098","23146358920","23749831994","24175752872","25061085684","26378125021","28156143310","29725474858","31558065185","32970188921","32832900911","33299988901","35897352945","38863814276","41019227425","42575789708","43276194013","42949920594","43935493058","43576669777","43998513835","45188097956","45561393948","47722538704","48896035213","50425617960","52294437950"
